J1,J2,J3,J4,J5,J6,floor_clear_mm,self_clear_mm,self_target,collision
90,162,10.2,176.5,17.4,155.4,-31.6,-4.0,base.stl,1
90,102,66.2,61.6,136.3,56.6,50.0,27.0,wrist.b.stl,0
90,118.3,93.1,87.3,162.2,99.8,50.0,23.2,wrist.b.stl,0
90,148.8,130.6,6.9,139.2,39,50.0,25.8,wrist.b.stl,0
90,162.6,7.7,60,18,85.6,-131.5,22.7,wrist.b.stl,1
90,147.6,53.7,27.2,59.4,146.5,50.0,26.5,wrist.b.stl,0
90,25.3,40.9,12.4,127,71.1,50.0,22.0,wrist.b.stl,0
90,56,129.4,60.5,131,146.7,50.0,26.7,wrist.b.stl,0
90,39.2,175.3,29.2,52.4,32.4,-2.6,23.0,wrist.b.stl,1
90,62.2,86.4,94,153.6,160.1,50.0,27.4,wrist.b.stl,0
90,39.6,112.1,20.1,82.6,58,50.0,34.5,wrist.b.stl,0
90,57,86.9,131.4,12.5,158.3,50.0,27.9,wrist.b.stl,0
90,132.3,31.8,169,91.1,180,50.0,34.8,wrist.b.stl,0
90,35.5,96.3,52.2,54.8,106.4,50.0,22.1,wrist.b.stl,0
90,165.9,144.9,130.3,100.7,166,50.0,33.3,wrist.b.stl,0
90,88.6,157.3,150.1,38.5,138.8,50.0,26.1,wrist.b.stl,0
90,2.2,58.1,41.3,91.2,132.6,50.0,31.9,wrist.b.stl,0
90,17.6,92.7,168.9,41.2,121.9,50.0,20.9,wrist.b.stl,0
90,106.7,1.8,85.6,127.6,7.9,50.0,22.4,wrist.b.stl,0
90,158.3,93.6,5.5,40.4,171.7,50.0,25.4,wrist.b.stl,0
90,104.8,19.3,51.8,82.2,3.8,50.0,31.8,wrist.b.stl,0
90,74.1,88.1,43.9,106,135.6,50.0,32.9,wrist.b.stl,0
90,42.5,111.7,115.1,170.7,140.1,50.0,26.8,wrist.b.stl,0
90,152.7,88.3,33.4,179.2,23.3,50.0,25.5,wrist.b.stl,0
90,84.9,12.3,169.9,173.7,129.5,50.0,25.4,wrist.b.stl,0
90,63,45.8,47.8,22.9,94.6,50.0,22.1,wrist.b.stl,0
90,25.5,57,112.8,131,4.4,50.0,22.1,wrist.b.stl,0
90,77.4,117.4,153.6,85.6,174.5,50.0,34.1,wrist.b.stl,0
90,47.8,2.4,87.1,46.1,148.3,50.0,27.2,wrist.b.stl,0
90,41.9,55.9,142.4,128.7,100.4,50.0,20.9,wrist.b.stl,0
90,126.9,75.4,1,2,92,50.0,23.8,wrist.b.stl,0
90,15,9.2,173.8,154.6,27.4,50.0,23.1,wrist.b.stl,0
90,0.1,169.5,50.1,33.5,124.5,-140.0,22.7,wrist.b.stl,1
90,19.6,47.6,175.5,115.1,93.7,50.0,24.5,wrist.b.stl,0
90,71.6,139.4,25.4,174.1,155,50.0,19.2,elbow.b.stl,0
90,111.2,7.7,126.2,164.4,94.4,50.0,23.6,wrist.b.stl,0
90,63.8,21.6,135.9,159.3,18,50.0,24.1,wrist.b.stl,0
90,136.6,3.1,174.1,110.7,99.4,19.0,16.3,base.stl,0
90,53.3,167.3,47.9,149.1,177.3,31.8,26.1,wrist.b.stl,0
90,141,93.4,11.9,85,78.9,50.0,30.7,wrist.b.stl,0
90,36.5,76.2,64.4,29.5,79.4,50.0,20.8,wrist.b.stl,0
90,47.3,94,6.3,163.1,146.9,50.0,24.1,elbow.b.stl,0
90,99.5,153.3,173.2,19.9,113.5,50.0,22.9,wrist.b.stl,0
90,179.6,177.8,108.6,23,105,50.0,21.8,wrist.b.stl,0
90,0.4,35.8,172.1,59.5,114.9,50.0,24.0,wrist.b.stl,0
90,50.6,170.6,131.1,59.3,142.5,50.0,25.3,wrist.b.stl,0
90,19.5,70.6,39.8,123.1,18.4,50.0,25.2,wrist.b.stl,0
90,71.5,49.8,91.1,63,127.2,50.0,24.6,wrist.b.stl,0
90,4.4,114.1,41.5,48.4,144,-18.4,26.4,wrist.b.stl,1
90,172,57,148.8,18.7,114.1,-17.6,-10.3,base.stl,1
90,135.2,28.1,76.7,160.7,18.6,50.0,24.3,wrist.b.stl,0
90,3.3,106.3,78.4,143.8,166.2,-73.9,25.5,wrist.b.stl,1
90,53.8,69.9,87.5,105.9,177.1,50.0,33.8,wrist.b.stl,0
90,125.5,70.1,47.5,170,24.4,50.0,25.2,wrist.b.stl,0
90,129.6,166.6,119.6,76.1,35.8,50.0,29.8,wrist.b.stl,0
90,66.1,127.2,116.9,167,156,50.0,28.8,wrist.b.stl,0
90,146.9,164.1,49.7,66.5,68.4,50.0,31.8,wrist.b.stl,0
90,100.9,120.3,51.6,3.5,71.9,50.0,25.2,wrist.b.stl,0
90,55.5,169.6,159.9,154.9,117.5,50.0,22.0,wrist.b.stl,0
90,62,98.8,146.7,17.7,144.2,50.0,28.4,wrist.b.stl,0
90,7.4,147,145.4,9.2,112.9,17.5,23.8,wrist.b.stl,0
90,90.4,30.6,26.7,139.2,102.2,50.0,20.8,wrist.b.stl,0
90,176.9,176.8,178.7,21.4,168.9,50.0,27.3,wrist.b.stl,0
90,44,82.5,136.3,36.7,101.9,50.0,20.6,wrist.b.stl,0
90,33.4,18.9,21,64.4,0.8,50.0,30.6,wrist.b.stl,0
90,76.5,119.6,72.3,15.4,11.3,50.0,24.2,wrist.b.stl,0
90,50.1,30.5,173.7,27.2,145,50.0,27.0,elbow.b.stl,0
90,105.5,102.5,92.2,174.9,65.5,50.0,26.0,wrist.b.stl,0
90,141.8,100,71.2,172,107.7,50.0,24.3,wrist.b.stl,0
90,21.4,75.2,140.7,124.9,164.9,50.0,27.5,wrist.b.stl,0
90,46.7,136.5,82.8,103.2,171.9,50.0,33.5,wrist.b.stl,0
90,176.3,155.1,64.6,159.8,114.9,50.0,22.9,wrist.b.stl,0
90,77.4,6.4,138.6,90.4,141.5,50.0,33.3,wrist.b.stl,0
90,134.6,142.8,54.1,144.1,98.8,50.0,20.4,wrist.b.stl,0
90,85.2,121.5,3.8,18.4,52.6,50.0,27.1,wrist.b.stl,0
90,176.9,25.2,59.5,9.2,59.6,-164.9,26.6,wrist.b.stl,1
90,57.7,170.4,152.1,68.9,4.5,50.0,30.6,wrist.b.stl,0
90,149.6,118.9,27.4,179.3,18,50.0,25.1,wrist.b.stl,0
90,156.1,53,78.4,143.2,122,50.0,20.8,wrist.b.stl,0
90,168.8,111.8,17.6,159.2,138.4,50.0,24.4,wrist.b.stl,0
90,128.1,9.7,71.3,30.1,147.9,-8.0,26.6,wrist.b.stl,1
90,126.1,159,174,139.5,179,50.0,26.2,wrist.b.stl,0
90,110.7,6.7,2.6,61.6,148.2,50.0,27.2,wrist.b.stl,0
90,155.9,172.9,11.7,8,164.4,50.0,28.1,wrist.b.stl,0
90,54.9,100.4,176.8,72.1,119.9,50.0,27.6,wrist.b.stl,0
90,72.2,138.3,95,42.8,48.8,50.0,26.1,wrist.b.stl,0
90,46.5,95.8,126.6,170.9,124.9,50.0,24.6,wrist.b.stl,0
90,140.6,30.4,67.3,74.5,123.5,50.0,28.1,wrist.b.stl,0
90,53.3,54.6,64.1,145.9,104,50.0,21.1,wrist.b.stl,0
90,13.5,14.1,66.8,138,124,50.0,22.1,wrist.b.stl,0
90,127.4,138.1,51.7,98.7,97.8,50.0,29.2,wrist.b.stl,0
90,133.1,172.2,50,142.8,118.8,50.0,20.4,wrist.b.stl,0
90,104.4,139.5,169.9,6.6,26.5,50.0,17.5,elbow.b.stl,0
90,136.1,15.1,92.9,39.6,49.4,-11.8,25.9,wrist.b.stl,1
90,126.3,5.4,157.2,80,90.4,50.0,27.6,base.stl,0
90,97.2,116.2,62.1,18.2,57.3,50.0,25.7,wrist.b.stl,0
90,30.3,100.1,57.2,172.5,173.8,22.8,28.6,wrist.b.stl,0
90,111.6,111.1,177.4,159.7,137.7,50.0,24.3,wrist.b.stl,0
90,56.4,65.8,36.2,87.7,178.3,50.0,34.4,wrist.b.stl,0
90,164.2,21.3,4.5,161.8,96.7,43.4,23.1,wrist.b.stl,0
90,36,121.3,116,22,46.7,50.0,29.2,wrist.b.stl,0
90,10.8,37.8,23.8,34.8,123.4,50.0,22.3,wrist.b.stl,0
90,8.9,18.3,24.2,57,53.8,50.0,28.1,wrist.b.stl,0
90,45.9,135.1,179.6,96.1,170,50.0,34.0,wrist.b.stl,0
90,71.4,19.2,73.6,53.3,88.8,50.0,23.3,wrist.b.stl,0
90,118.3,83,168.3,159.3,126.4,50.0,22.9,wrist.b.stl,0
90,88.1,23.7,71.5,126.8,51.3,50.0,28.3,wrist.b.stl,0
90,18.7,163.4,127.6,110.7,142.6,-20.7,31.0,wrist.b.stl,1
90,150.4,87,158.6,165,48.9,50.0,27.6,wrist.b.stl,0
90,109.4,94.8,96.8,168.8,54.9,50.0,29.1,wrist.b.stl,0
90,177,162.4,82.6,147.1,138.4,50.0,24.6,wrist.b.stl,0
90,122,57.6,35.4,120.9,151.7,50.0,27.8,wrist.b.stl,0
